BERTScore P,BERTScore R,BERTScore F1
0.8845234,0.8315449,0.85721636
0.88251567,0.8707397,0.87658817
0.87666017,0.84187746,0.8589169
0.87527275,0.84426004,0.85948676
0.86397207,0.8720059,0.8679704
0.867402,0.8530129,0.8601473
0.88262767,0.8636956,0.873059
0.90762925,0.881007,0.89412004
0.9163219,0.9063784,0.911323
0.89176947,0.8749684,0.883289
0.8448568,0.8413076,0.84307843
0.9092871,0.9353433,0.9221312
0.8914327,0.8653455,0.87819535
0.9410512,0.9239486,0.9324215
0.90236956,0.90074944,0.9015588
0.89792234,0.88054883,0.88915074
0.84577155,0.86842775,0.8569499
0.82991266,0.850563,0.8401109
0.81765366,0.83829707,0.82784665
0.8893039,0.8589878,0.873883
0.87653124,0.8557277,0.8660046
